Year,Change in Temperature
1970.04,0.0119734
1971.04,-0.0199337
1973.04,0.0141507
1974.04,-0.0161447
1975.04,0.0165777
1976.04,-0.0242672
1977.04,0.0350704
1978.04,-0.0176506
1979.04,-0.0213108
1980.04,0.0491371
1981.04,-0.0002002
1982.04,-0.0201025
1983.04,-0.0065765
1984.04,-0.0016632
1985.04,-0.0360299
1986.04,0.0286665
1987.04,0.0547018
1988.04,-0.0116301
1989.04,-0.0162611
1990.04,0.0090856
1991.04,0.0155077
1992.04,-0.0646992
1993.04,0.0412845
1994.04,0.0035391
1995.04,0.0318479
1996.04,-0.0225086
1997.04,-0.0134592
1998.04,0.0532504
1999.04,-0.0341978
2000.04,-0.004239
2001.04,0.0265684
2002.04,0.014162
2003.04,-0.0267983
2004.04,-0.056716
2005.04,0.0692024
2006.04,-0.0093651
2007.04,0.0097074
2008.04,-0.0048971
2009.04,-0.002017
2010.04,0.0099516
2011.04,0.0185929
1940,0.6
1920,-0.1
1900,-0.26
1880,-0.26
1860,-0.19
1840,-0.16
1820,-0.15
1800,-0.25
1780,-0.22
1760,-0.22
1740,-0.37
1720,-0.35
1700,-0.37
1680,-0.35
1660,-0.33
1640,-0.32
1620,-0.3
1600,-0.29
1580,-0.27
1560,-0.24
1540,-0.22
1520,-0.25
1500,-0.23
1480,-0.23
1460,-0.21
1440,-0.28
1420,-0.26
1400,-0.18
1380,-0.17
1360,-0.16
1340,-0.13
1320,-0.12
1300,-0.13
1280,-0.14
1260,-0.12
1240,-0.13
1220,-0.2
1200,-0.19
1180,-0.18
1160,-0.14
1140,-0.11
1120,-0.1
1100,-0.09
1080,-0.09
1060,-0.09
1040,-0.08
1020,-0.08
1000,-0.08
980,-0.07
960,-0.05
940,-0.06
920,-0.05
900,-0.04
880,-0.03
860,-0.02
840,0
820,0
800,0
780,0
760,0
740,0
720,-0.02
700,-0.02
680,-0.02
660,-0.02
640,-0.02
620,-0.03
600,-0.02
580,-0.02
560,-0.02
540,-0.02
520,-0.02
500,-0.07
480,-0.07
460,-0.08
440,-0.07
420,-0.06
400,-0.07
380,-0.07
360,-0.07
340,-0.07
320,-0.07
300,-0.07
280,-0.07
260,-0.07
240,-0.07
220,-0.07
200,-0.07
180,-0.06
160,-0.06
140,-0.06
120,-0.06
100,-0.06
80,-0.06
60,-0.06
40,-0.06
20,-0.06
0,-0.06
2017.5,0.166341648
2022.5,0.16797
2027.5,0.169288352
2032.5,0.170155141
2037.5,0.170443211
2042.5,0.170054963
2047.5,0.16892019
2052.5,0.166993617
2057.5,0.164251134
2062.5,0.160685518
2067.5,0.156302143
2072.5,0.151114949
2077.5,0.145142805
2082.5,0.138406306
2087.5,0.13092495
2092.5,0.122714603
2097.5,0.11378512
2102.5,0.101182022
2107.5,0.088229609
2112.5,0.07485424
2117.5,0.06274553
2122.5,0.052951786
2127.5,0.044932983
2132.5,0.03829413
2137.5,0.032743437
2142.5,0.02806276
2147.5,0.024086817
2152.5,0.020688569
2157.5,0.017768934
2162.5,0.006144884
2167.5,-0.002946975
2172.5,-0.01014772
2177.5,-0.015919007
2182.5,-0.020594726
2187.5,-0.024418
2192.5,-0.027567442
2197.5,-0.030175708
